Open,High,Low,Adj Close
895.55,927.37,895.54,921.79
898.17,899.4,887.01,895.03
888.34,904.61,884.34,899.07
909.37,917.5,858.3,886.62
830.95,910.56,830.8,907.94
821.78,834.53,820.27,831.53
818.14,823.31,812.87,821.8
825.14,835.09,812.46,818.41
803.74,829,780,823.98
775.18,826.25,755.76,804.83
908.12,919.45,762.77,777.76
902.44,914.87,901.06,907.68
913.24,913.69,879.81,902.83
908.18,942.72,887.25,911.2
903.49,908.59,823.56,908.59
1014.24,1046.81,883.94,902.2
1156.73,1191.1,910.42,1013.38
1044.4,1159.42,1044.4,1154.73
1021.6,1044.08,1021.6,1043.84
998.62,1031.39,996.7,1021.75
963.66,1003.08,958.7,998.33
960.63,963.74,947.24,963.74
972.54,972.54,934.83,961.24
975.13,979.4,954.5,973.5
934.83,975.92,934.83,975.92
908.35,940.05,904.26,933.2
896.91,913.18,896.9,907.61
899.65,899.65,862.42,896.18
922.18,923.48,886.34,898.82
864.89,925.12,864.68,921.98
834.18,875.78,834.15,864.54
800.64,834.28,799.41,834.28
792.25,801.34,791.5,800.88
790.69,793.61,790.32,792.71
791.01,794.74,788.03,790.53
785.17,792.51,784.86,790.83
778.96,785.03,778.96,784.91
780.07,781.44,777.8,778.09
780.01,782.03,776.84,781.48
780.65,788.46,777.96,780.56
770.04,781.92,770.04,780.09
774.75,774.8,765.41,769.73
773.02,777.09,772.91,774.65
769.94,774.53,769.65,772.79
768.08,774.7,765.95,770.81
764.21,771.54,759.75,768.13
758.72,765.62,758.72,764.22
773.39,773.47,751.71,758.7
771.64,773.87,768.16,773.87
778.25,778.25,764.86,771.16
757.55,781.3,757.55,777.94
746.05,758.28,746.05,756.77
736.28,747.93,736.27,745.69
736.33,737.47,734.56,735.6
732.48,738.01,732.48,735.81
735.44,739.02,731.09,732.04
741.51,742.21,729.63,735.38
740.44,741.65,734.59,741.65
744.62,746.83,733.49,740.29
751.74,752.25,738.92,744.59
739.64,753.87,736.53,751.35
731.27,741.72,730.51,739.25
751.88,755.48,717.94,731.03
751.83,756.24,744.47,751.62
740.71,752.88,736.89,751.59
744.88,755.65,739.51,740.98
711.17,747.62,709.04,744.2
705.79,715.72,705.26,711.62
702,706.28,699.81,705.02
705.2,705.26,687.32,702.03
716.75,717.15,704.04,705.05
715.56,718.32,714.41,716.41
722.84,723.02,711.21,715.53
709.83,740.05,708.61,723.27
703.09,712.99,702.39,709.85
710.74,710.74,699.9,703.13
703.81,714.26,699.56,711.52
703.53,707.51,697.74,703.42
689.12,706.93,685.56,703.24
742.35,745.77,678.16,688.7
730.07,740.83,722.35,740.83
701.34,736.45,701.34,729.79
702.64,709.29,691.68,700.97
714.12,714.12,696.48,701.86
690.29,720.4,690.05,714.48
688,690.44,684.16,689.65
678.21,688.59,678.04,688.31
657.68,679.73,657.68,678.3
654,664.42,653.7,657.59
657.16,657.25,652.6,653.76
657.62,661.13,653.89,657.07
633.14,658.2,632.85,657.29
630.83,634.09,630.69,632.83
630.66,631.92,628.26,630.86
638.13,638.87,628.01,630.52
639.41,640.74,636,637.96
641.82,642.33,638.66,639.19
639.08,642.9,638.9,641.63
640.31,642.1,637.39,638.65
637.01,641.29,637.01,640.38
636.03,638.83,635.03,636.79
640.87,641.34,635.97,636.19
619.24,642.08,618.5,641.07
616.82,621.32,616.2,618.99
619.17,619.2,616.61,616.75
617.34,619.85,617.34,619.11
612.61,617.91,611.82,617.12
612.47,613.82,611.47,613.02
610.22,613.81,609.62,612.51
612.05,612.05,609.48,610.2
610.97,612.57,610.46,612.13
613.95,614.01,609.68,610.89
609.93,615.24,609.93,613.98
605.72,609.74,604.14,609.74
605.02,606.82,604.85,605.69
606.24,606.59,604.61,604.73
608.02,608.25,604.11,606.17
600.81,608.14,600.35,608.04
602.75,603.38,599.71,600.83
602.96,604.58,602.05,602.63
596.2,603.21,595.79,602.84
597.28,598.49,596.21,596.3
603.59,603.59,595.88,597.15
609.25,609.53,607.94,608.31
609.87,610.93,608.27,609.23
606.28,610.16,605.86,609.87
607.22,607.86,605.19,605.98
607.25,609.26,606.74,606.97
610.59,611.09,607.16,607.16
608.84,611.95,608.41,610.68
608.03,611.19,606.93,609.24
607.01,608.46,605.41,608.24
623.42,628.82,600.51,606.72
622.93,625.1,622.4,623.51
626.35,626.83,620.26,622.86
614.64,628.77,613.84,626.32
610.57,614.55,608.51,614.54
606.51,610.83,605.09,610.44
608.99,609.06,602.24,606.59
598.59,611.84,596.85,608.63
575.56,599.5,574.06,598.21
