Open,High,Low,Adj Close,Date
596.33,604.08,596.16,602.72,6/29/2014
599.08,604.47,595.92,596.55,6/28/2014
581.3,600.12,579.89,597.26,6/27/2014
566.14,581.63,564.73,581.14,6/26/2014
581.81,583.6,565.63,566.34,6/25/2014
593.97,596.97,582.36,582.36,6/24/2014
602.16,603.21,586.34,593.98,6/23/2014
595.9,606,594.63,602.27,6/22/2014
593.68,599.46,587.74,594.99,6/21/2014
597.4,599.75,587.76,594.15,6/20/2014
608.07,612.24,597.02,598.07,6/19/2014
609.77,615.88,604.4,607.96,6/18/2014
591.59,610.89,590.4,610.86,6/17/2014
592.65,608.72,587.07,592.19,6/16/2014
575.93,592.94,554.89,592.94,6/15/2014
600.75,601.27,549.82,577.36,6/14/2014
585.7,615.14,585.7,600.16,6/13/2014
633.43,638.11,573.27,586.95,6/12/2014
653.19,657.04,632.55,633.02,6/11/2014
650.04,659.62,646.56,653.15,6/10/2014
655.64,657.7,644.39,649.16,6/9/2014
654.99,658.88,653.47,656.14,6/8/2014
653.52,656.94,644.91,654.97,6/7/2014
659.28,661.37,652.3,653.7,6/6/2014
641.07,663.53,640.09,659.26,6/5/2014
666.77,668.56,624.09,641.61,6/4/2014
660.55,674.11,650.78,667.61,6/3/2014
629.65,665.5,618.75,660.62,6/2/2014
623.69,671.51,619.91,630.23,6/1/2014
615.69,624.72,604.47,623.68,5/31/2014
568.18,618.46,568.16,615.33,5/30/2014
576.33,577.1,561.6,568.18,5/29/2014
571.92,578.62,564.09,577.06,5/28/2014
582.59,589.52,554.43,571.24,5/27/2014
571.39,588.39,565.33,583.42,5/26/2014
525.23,576.48,525.23,571.59,5/25/2014
521.05,525.17,516.28,525.14,5/24/2014
525.72,541.96,520.08,520.22,5/23/2014
492.05,525.36,490.19,524.58,5/22/2014
485.8,494.37,483.49,491.77,5/21/2014
446.31,491.44,446.01,485.72,5/20/2014
446.08,447.56,443.1,446.18,5/19/2014
448.7,449.77,444.78,446.26,5/18/2014
448.12,451.98,447.3,448.9,5/17/2014
447.39,450.66,444.96,448.06,5/16/2014
444.14,449.8,443.63,447.25,5/15/2014
440.59,446.66,440.5,443.97,5/14/2014
441.53,441.98,436.97,440.67,5/13/2014
438.3,442.26,434.23,441.46,5/12/2014
453.92,455.34,433.4,438.89,5/11/2014
450.46,455.77,448.47,454.43,5/10/2014
440.18,452.69,440.14,449.46,5/9/2014
438.68,448.4,438.14,440.17,5/8/2014
429.34,446.13,428.45,438.82,5/7/2014
433.36,448.04,423.25,428.96,5/6/2014
434.78,440.97,427.62,433.48,5/5/2014
438.52,439.77,430.05,436.4,5/4/2014
449.4,449.4,430.68,437.76,5/3/2014
457.36,457.93,443.4,449.38,5/2/2014
